City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,saint-jean-d'angely,45.95,-0.5167,284.02,90,91,1.66,FR,1706647366
271,itsa,29.2376,30.7894,282.81,54,5,2.24,EG,1706647366
272,coari,-4.085,-63.1414,303.16,74,100,1.06,BR,1706647366
273,kisolon,8.33,124.9769,294.47,98,100,1.21,PH,1706647366
274,zheshart,62.0731,49.5733,269.38,90,45,4.04,RU,1706647366
275,ulsteinvik,62.3432,5.8487,278.22,67,76,5.81,NO,1706647366
276,wau,7.7029,27.9953,298.61,22,67,2.08,SS,1706647367
277,walvis bay,-22.9575,14.5053,294.68,73,5,3.09,NA,1706647330
278,forster,-32.1667,152.5167,294.42,100,13,1.42,AU,1706647367
279,mount isa,-20.7333,139.5,298.02,94,100,7.72,AU,1706647367
280,taro,-8.3862,115.28,296.15,91,97,0.61,ID,1706647368
281,miles city,46.4083,-105.8406,282.69,61,0,0.0,US,1706647368
282,korla,41.7597,86.1469,267.84,71,88,2.72,CN,1706647155
283,berkane,34.9084,-2.3461,283.97,94,19,2.12,MA,1706647368
284,wynyard,-41.0,145.7167,288.86,71,83,3.87,AU,1706647368
285,greenland,43.0362,-70.8328,270.41,71,75,2.57,US,1706647368
286,island harbour,50.724,-1.2758,281.19,80,100,2.15,GB,1706647369
287,selfoss,63.9331,-20.9971,269.84,69,100,11.69,IS,1706647369
288,karlskrona,56.1616,15.5866,277.03,94,100,5.16,SE,1706647369
289,kerikeri,-35.2268,173.9474,296.43,80,6,1.69,NZ,1706647149
290,ust'-ilimsk,58.0006,102.6619,238.95,100,7,1.34,RU,1706647369
291,ceerigaabo,10.6162,47.368,288.82,63,52,0.57,SO,1706647370
292,aasiaat,68.7098,-52.8699,241.53,98,62,4.67,GL,1706647370
293,santa barbara,34.7333,-120.0343,293.03,47,0,0.0,US,1706647289
294,bereeda,11.8704,51.0579,297.56,71,98,3.59,SO,1706647370
295,antalaha,-14.9003,50.2788,298.1,86,98,3.26,MG,1706647370
296,palu,-0.8917,119.8707,297.49,96,82,0.84,ID,1706647370
297,akureyri,65.6835,-18.0878,272.11,74,100,5.66,IS,1706647370
298,linqiong,30.4159,103.4609,279.05,76,58,1.02,CN,1706647371
299,kalmunai,7.4167,81.8167,297.78,91,15,2.77,LK,1706647371
300,manokwari,-0.8667,134.0833,299.83,80,100,0.79,ID,1706647371
301,touros,-5.1989,-35.4608,300.84,73,30,6.72,BR,1706647277
302,tindouf,27.6711,-8.1474,292.4,22,0,2.57,DZ,1706647371
303,side,36.7667,31.3885,282.61,52,100,3.83,TR,1706647371
304,eyl,7.9803,49.8164,297.25,72,12,5.98,SO,1706647372
305,namibe,-15.1961,12.1522,297.56,77,47,1.93,AO,1706647372
306,gadzhiyevo,69.2551,33.3362,276.2,77,92,13.64,RU,1706647372
307,saint-pierre,-21.3393,55.4781,298.97,83,100,1.54,RE,1706647372
308,demba,-5.51,22.2667,293.43,97,100,0.57,CD,1706647372
309,wuyo,10.3852,11.6968,299.01,21,1,5.55,NG,1706647372
310,baker city,44.7749,-117.8344,284.99,65,0,5.14,US,1706647372
311,antonio enes,-16.2325,39.9086,299.29,74,60,1.09,MZ,1706647373
312,zaragoza,41.6561,-0.8773,285.94,75,100,1.54,ES,1706647373
313,labrador city,52.9463,-66.9114,261.1,37,20,6.17,CA,1706647373
314,amungan,15.3652,119.9582,296.17,70,35,2.85,PH,1706647373
315,ciudad lazaro cardenas,17.9583,-102.2,301.33,62,100,4.11,MX,1706647373
316,mirandela,41.4874,-7.187,284.98,77,100,0.84,PT,1706647373
317,kayangel,8.0823,134.7173,300.37,82,51,10.78,PW,1706647374
318,rey bouba,8.6724,14.1786,298.23,18,8,1.15,CM,1706647374
319,kavaratti,10.5669,72.642,300.66,68,61,3.35,IN,1706647374
320,luderitz,-26.6481,15.1594,292.26,86,2,4.82,NA,1706647374
321,gurupi,-11.7292,-49.0686,298.98,86,100,1.72,BR,1706647374
322,martuk,50.7475,56.5056,267.19,96,100,3.67,KZ,1706647374
323,newman,37.3138,-121.0208,294.96,71,94,3.39,US,1706647375
324,maues,-3.3836,-57.7186,301.44,84,95,1.75,BR,1706647375
325,santa luzia,-19.7697,-43.8514,303.65,56,75,3.6,BR,1706647375
326,lebu,-37.6167,-73.65,291.07,65,0,6.92,CL,1706647375
327,tsiombe,-25.3,45.4833,296.27,81,100,6.99,MG,1706647375
328,praia da vitoria,38.7333,-27.0667,289.29,82,75,5.34,PT,1706647375
329,saipan,15.1355,145.701,298.54,69,75,9.77,MP,1706647376
330,terrace,54.5163,-128.6035,282.1,87,75,4.63,CA,1706647340
331,ciudad miguel aleman,26.35,-99.1,294.37,41,100,3.09,MX,1706647376
332,lexington,37.9887,-84.4777,278.89,81,100,3.09,US,1706647107
333,juneau,58.3019,-134.4197,276.15,95,100,3.09,US,1706647376
334,uturoa,-16.7333,-151.4333,301.84,75,100,3.2,PF,1706647376
335,lazaro cardenas,17.9583,-102.2,301.33,62,100,4.11,MX,1706647113
336,shache,38.4167,77.2406,271.44,51,100,1.25,CN,1706647377
337,carnarvon,-24.8667,113.6333,298.66,70,21,6.87,AU,1706647377
338,al hoceima,35.2433,-3.9309,288.72,63,20,2.06,MA,1706647377
339,polyarnyy,69.1989,33.4478,276.32,77,93,12.67,RU,1706647377
340,imbituba,-28.24,-48.6703,298.07,77,42,2.17,BR,1706647377
341,mejit,10.2753,170.8646,299.44,79,100,10.62,MH,1706647378
342,dudinka,69.4058,86.1778,256.27,83,93,9.81,RU,1706647378
343,nizhneangarsk,55.7833,109.55,246.48,89,9,2.24,RU,1706647378
344,korsakov,46.6328,142.7813,257.06,87,89,2.47,RU,1706647378
345,alice springs,-23.7,133.8833,301.9,22,93,6.69,AU,1706647194
346,znamenskoye,57.1281,73.8282,259.41,96,100,2.78,RU,1706647378
347,tver,56.8619,35.8931,271.64,93,100,4.92,RU,1706647378
348,al bawiti,28.3492,28.8659,282.02,48,4,3.42,EG,1706647379
349,nikol'sk,53.7189,46.0712,267.91,95,88,3.96,RU,1706647379
350,buka,40.8108,69.1986,274.51,95,100,2.77,UZ,1706647379
351,plastun,44.7561,136.2939,263.48,72,100,1.4,RU,1706647379
352,tozkhurmato,34.8905,44.6299,283.41,67,100,3.28,IQ,1706647380
353,gisborne,-38.6533,178.0042,292.28,91,79,6.82,NZ,1706647380
354,morehead city,34.7229,-76.726,285.15,68,0,3.6,US,1706647380
355,loiza,18.4313,-65.8802,302.14,67,40,3.09,PR,1706647380
356,tarnogskiy gorodok,60.4997,43.5761,267.64,93,11,2.98,RU,1706647380
357,gidrotorf,56.4744,43.5414,270.14,96,39,2.63,RU,1706647380
358,tarawa,1.419,172.984,301.2,83,75,3.09,KI,1706647381
359,le port,-20.9373,55.2919,300.13,84,6,2.7,RE,1706647381
360,queenstown,-31.8976,26.8753,293.5,88,100,1.49,ZA,1706647381
361,bel ombre,-4.6167,55.4167,301.06,78,20,1.54,SC,1706647381
362,crane,31.3974,-102.3501,292.12,28,46,2.52,US,1706647381
363,kasongo,-4.45,26.6667,293.89,97,79,1.19,CD,1706647381
